OBJECTID,FID_ACS_2016_5YR_BG_06_CALIFORNI,BG_COUNTYFP,BG_TRACTCE,BG_BLKGRPCE,BG_GEOID,BG_NAMELSAD,BG_MTFCC,BG_FUNCSTAT,BG_ALAND,BG_AWATER,BG_INTPTLAT,BG_INTPTLON,BG_GEOID_Data,FID_DAC_Place_2010_2014,DACP_Place_IDNumber,DACP_Place_Name,DAC_Population,DAC_Households,DAC_Median_Household_Income,DACP_area_a_,Shape_Length,Shape_Area,DACP_BG_int_a_,Percent_intersection
5052,19772,71,8704,5,60710087045,Block Group 5,G5030,S,1086476,0,34.0090249,-117.0616842,15000US060710087045,202,609864,Calimesa city,8143,3351,42392,13856,17.529437,0.197866,0.000049,3.53637E-09
261,1119,73,3603,2,60730036032,Block Group 2,G5030,S,230776,0,32.6848546,-117.1063686,15000US060730036032,373,650398,National City city,59543,15523,39517,8257,2.297961,0.120733,0.00003,3.63328E-09
4146,15593,37,276100,1,60372761001,Block Group 1,G5030,S,348806,0,33.9722753,-118.3728413,15000US060372761001,7,636546,Inglewood city,111133,36309,42249,8480,23.150438,0.135574,0.000034,4.00943E-09
4687,18136,37,403312,1,60374033121,Block Group 1,G5030,S,2526225,7649,34.021716,-117.8233911,15000US060374033121,116,658072,Pomona city,151142,38894,48993,21467,59.03191,0.611047,0.000151,7.03405E-09
3191,12697,89,11500,4,60890115004,Block Group 4,G5030,S,14351274,411205,40.4953794,-122.2806825,15000US060890115004,318,602042,Anderson city,10066,3884,35225,7324,116.800688,0.438583,0.000108,1.4746E-08
3856,14978,37,242100,1,60372421001,Block Group 1,G5030,S,459615,0,33.9456299,-118.2323662,15000US060372421001,153,673080,South Gate city,95515,23386,43526,6855,81.995097,0.420974,0.000104,1.51714E-08
1047,4688,65,45233,2,60650452332,Block Group 2,G5030,S,1368749,0,33.7473574,-116.2781372,15000US060650452332,283,636448,Indio city,82539,25281,47922,28449,129.391886,1.949856,0.000482,1.69426E-08
771,3815,65,42300,4,60650423004,Block Group 4,G5030,S,1044808,0,34.0153305,-117.3389111,15000US060650423004,58,614890,Colton city,53129,14885,39915,14992,6.733349,1.204432,0.000298,1.98773E-08
5573,22553,107,4300,3,61070043003,Block Group 3,G5030,S,204270560,0,35.8441163,-119.1554843,15000US061070043003,310,618394,Delano city,52883,10549,36244,13985,6.935767,1.48996,0.000368,2.63139E-08
346,1494,37,502500,2,60375025002,Block Group 2,G5030,S,2981318,108070,33.9802797,-118.1096571,15000US060375025002,142,648816,Montebello city,63353,19674,47562,7819,44.171999,0.872089,0.000215,2.74971E-08
