OBJECTID,Shape,FID_ACS_2016_5YR_BG_06_CALIFORNI3,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_Data,BG_area_acres,FID_DAC_Place_2010_2014,Place ID Number,DACP_name,DACP_population,DACP_households,DACP_MHI,DACP_area_a,Shape_Length,Shape_Area,BG_DACP_int_a_,Area_weight
706,Polygon,3673,6,71,9116,1,60710091161,Block Group 1,G5030,S,650939,0,34.582899,-117.4051515,15000US060710091161,237.871625,370,600296,Adelanto city,31773,7392,35262,53031.29364,3924.572824,962632.312,237.871625,1
2204,Polygon,8582,6,71,9117,1,60710091171,Block Group 1,G5030,S,151174442,0,34.5540708,-117.5151034,15000US060710091171,55205.4437,370,600296,Adelanto city,31773,7392,35262,53031.29364,51575.95407,70767465.92,17487.02166,0.316762632
2233,Polygon,8637,6,71,980200,1,60719802001,Block Group 1,G5030,S,19044620,0,34.5852811,-117.3717881,15000US060719802001,6959.830558,370,600296,Adelanto city,31773,7392,35262,53031.29364,42.550668,0.587474,0.000145,2.08338E-08
2236,Polygon,8639,6,71,9110,2,60710091102,Block Group 2,G5030,S,21872745,0,34.5456906,-117.3640109,15000US060710091102,7985.831815,370,600296,Adelanto city,31773,7392,35262,53031.29364,13087.58471,8617533.309,2129.438856,0.266652104
2254,Polygon,8775,6,71,9116,2,60710091162,Block Group 2,G5030,S,2884609,0,34.5921084,-117.4096792,15000US060710091162,1054.347731,370,600296,Adelanto city,31773,7392,35262,53031.29364,10604.42912,4266793.886,1054.347731,1
2255,Polygon,8776,6,71,9116,3,60710091163,Block Group 3,G5030,S,2988694,0,34.5930474,-117.4259158,15000US060710091163,1092.416524,370,600296,Adelanto city,31773,7392,35262,53031.29364,9506.089896,4420852.825,1092.416524,1
2296,Polygon,8941,6,71,9117,3,60710091173,Block Group 3,G5030,S,1604321,0,34.5967269,-117.44382,15000US060710091173,586.456999,370,600296,Adelanto city,31773,7392,35262,53031.29364,7854.105496,2373307.273,586.456999,1
4122,Polygon,15505,6,71,11700,1,60710117001,Block Group 1,G5030,S,419875148,1357273,34.7138452,-117.2159049,15000US060710117001,154415.682,370,600296,Adelanto city,31773,7392,35262,53031.29364,1562.255834,77527.90437,19.157562,0.000124065
4158,Polygon,15618,6,71,9117,2,60710091172,Block Group 2,G5030,S,476801057,1407886,34.630638,-117.5205628,15000US060710091172,175020.7188,370,600296,Adelanto city,31773,7392,35262,53031.29364,67990.44727,80475259.76,19885.86976,0.11362009
4160,Polygon,15619,6,71,9116,4,60710091164,Block Group 4,G5030,S,13752927,0,34.5701925,-117.4078797,15000US060710091164,5024.181117,370,600296,Adelanto city,31773,7392,35262,53031.29364,21440.94306,17964267.98,4439.067291,0.883540459
4755,Polygon,18583,6,71,9114,2,60710091142,Block Group 2,G5030,S,1630835,0,34.5237243,-117.4267276,15000US060710091142,595.112444,370,600296,Adelanto city,31773,7392,35262,53031.29364,6883.666549,2408334.615,595.112444,1
4756,Polygon,18584,6,71,9114,1,60710091141,Block Group 1,G5030,S,12177607,0,34.5416454,-117.4160195,15000US060710091141,4445.665942,370,600296,Adelanto city,31773,7392,35262,53031.29364,19885.28882,15052821.5,3719.633199,0.836687517
4757,Polygon,18585,6,71,9112,1,60710091121,Block Group 1,G5030,S,4892476,0,34.5136022,-117.4161755,15000US060710091121,1784.899845,370,600296,Adelanto city,31773,7392,35262,53031.29364,11803.24143,7223233.403,1784.899845,1
3541,Polygon,14134,6,49,200,2,60490002002,Block Group 2,G5030,S,1322681219,25460910,41.3117069,-121.1804989,15000US060490002002,590949.9699,486,600310,Adin CDP,215,64,29583,3895.440069,18772.57014,15764286.66,3895.440069,0.006591827
1839,Polygon,7628,6,99,2100,1,60990021001,Block Group 1,G5030,S,3383756,194176,37.6276316,-120.9588687,15000US060990021001,1411.912193,490,600535,Airport CDP,1547,472,21607,609.861884,6580.769902,1311530.801,324.086319,0.229537163
1847,Polygon,7642,6,99,2100,2,60990021002,Block Group 2,G5030,S,1406616,0,37.634937,-120.9693364,15000US060990021002,555.192668,490,600535,Airport CDP,1547,472,21607,609.861884,5562.393275,1156491.35,285.775236,0.514731646
3156,Polygon,12625,6,99,2302,1,60990023021,Block Group 1,G5030,S,1140006,53775,37.6230117,-120.9829995,15000US060990023021,471.036794,490,600535,Airport CDP,1547,472,21607,609.861884,162.600597,1.330571,0.000329,6.98459E-07
