GEOID,Total_population_e,NotHispanic_White_pop_e,Hispanic_or_Latino_population_e,Not_Hispanic_or_Latino_pop_e,OBJECTID
15000US060014001001,3018,2145,83,2935,3
15000US060014002001,1105,768,156,949,4
15000US060014002002,855,658,55,800,5
15000US060014003001,1466,877,89,1377,6
15000US060014003002,1265,846,102,1163,7
15000US060014003003,985,462,47,938,8
15000US060014003004,1520,1161,148,1372,9
15000US060014004001,1387,1066,108,1279,10
15000US060014004002,1193,693,91,1102,11
15000US060014004003,1591,999,67,1524,12
15000US060014005001,2548,1354,339,2209,13
15000US060014005002,674,348,31,643,14
15000US060014005003,526,270,116,410,15
15000US060014006001,1105,400,106,999,16
15000US060014006002,556,236,52,504,17
15000US060014007001,1143,338,244,899,18
15000US060014007002,1536,650,71,1465,19
15000US060014007003,706,265,193,513,20
15000US060014007004,1167,447,244,923,21
15000US060014008001,1585,468,116,1469,22
15000US060014008002,823,340,257,566,23
15000US060014008003,1098,582,48,1050,24
15000US060014009001,1321,396,181,1140,25
15000US060014009002,941,503,83,858,26
15000US060014010001,1248,165,232,1016,27
15000US060014010002,1046,403,294,752,28
15000US060014010003,1525,534,299,1226,29
15000US060014010004,581,193,196,385,30
15000US060014010005,837,246,207,630,31
15000US060014010006,956,373,152,804,32
15000US060014011001,480,235,25,455,33
15000US060014011002,1384,888,266,1118,34
15000US060014011003,1166,496,34,1132,35
15000US060014011004,1108,511,130,978,36
15000US060014012001,1193,694,318,875,37
15000US060014012002,869,492,66,803,38
15000US060014012003,552,300,54,498,39
15000US060014013001,1119,394,81,1038,40
15000US060014013002,1693,477,283,1410,41
15000US060014013003,1164,416,142,1022,42
15000US060014014001,1029,125,346,683,43
15000US060014014002,1990,428,592,1398,44
15000US060014014003,1089,138,207,882,45
15000US060014015001,1095,323,70,1025,46
15000US060014015002,747,360,90,657,47
15000US060014015003,763,274,154,609,48
15000US060014016001,1164,321,369,795,49
15000US060014016002,1009,233,109,900,50
15000US060014017001,768,310,125,643,51
15000US060014017002,1828,508,667,1161,52
15000US060014017003,83,33,50,33,53
15000US060014018001,954,301,187,767,54
15000US060014018002,912,209,174,738,55
15000US060014022001,916,184,181,735,56
15000US060014022002,937,194,234,703,57
15000US060014022003,553,274,130,423,58
15000US060014024001,1639,529,191,1448,59
15000US060014024002,1134,76,46,1088,60
15000US060014025001,1166,120,245,921,61
15000US060014025002,667,35,108,559,62
15000US060014026001,1272,219,94,1178,63
15000US060014027001,719,292,132,587,64
15000US060014027002,1015,185,264,751,65
15000US060014028001,1459,397,205,1254,66
15000US060014028002,2339,515,132,2207,67
15000US060014029001,1392,326,167,1225,68
15000US060014030001,1737,165,33,1704,69
15000US060014030002,1430,45,23,1407,70
15000US060014031001,1721,436,171,1550,71
15000US060014033001,2346,761,172,2174,72
15000US060014033002,1813,88,144,1669,73
15000US060014034001,887,648,52,835,74
15000US060014034002,1180,275,122,1058,75
15000US060014034003,861,323,120,741,76
15000US060014034004,1432,388,82,1350,77
15000US060014035011,1940,356,194,1746,78
15000US060014035012,2062,1038,315,1747,79
15000US060014035013,433,74,24,409,80
15000US060014035021,798,523,65,733,81
15000US060014035022,1283,552,107,1176,82
15000US060014036001,1110,309,72,1038,83
15000US060014036002,1999,842,249,1750,84
15000US060014036003,1642,647,278,1364,85
15000US060014037011,1348,724,133,1215,86
15000US060014037012,1407,800,157,1250,87
15000US060014037021,632,361,152,480,88
15000US060014037022,1395,823,95,1300,89
15000US060014038001,539,303,34,505,90
15000US060014038002,803,596,69,734,91
15000US060014038003,718,336,107,611,92
15000US060014038004,1263,905,70,1193,93
15000US060014039001,1563,821,76,1487,94
15000US060014039002,692,404,34,658,95
15000US060014039003,1683,928,49,1634,96
15000US060014040001,1933,1104,301,1632,97
15000US060014040002,999,638,129,870,98
15000US060014041011,1226,806,100,1126,99
15000US060014041012,1961,1286,116,1845,100
15000US060014041021,1278,961,73,1205,101
15000US060014041022,1160,654,145,1015,102
15000US060014042001,957,699,13,944,103
15000US060014042002,1482,1039,50,1432,104
15000US060014042003,1211,687,118,1093,105
15000US060014043001,1034,703,38,996,106
15000US060014043002,991,578,152,839,107
15000US060014043003,1304,857,168,1136,108
15000US060014044001,2206,1450,142,2064,109
15000US060014044002,1527,1019,93,1434,110
15000US060014044003,1671,1282,123,1548,111
15000US060014045011,1836,1193,150,1686,112
15000US060014045021,532,446,65,467,113
15000US060014045022,1237,781,77,1160,114
15000US060014045023,1808,977,270,1538,115
15000US060014045024,1826,1363,27,1799,116
15000US060014046001,1081,709,41,1040,117
15000US060014046002,700,471,34,666,118
15000US060014046003,1250,960,61,1189,119
15000US060014046004,1316,1038,28,1288,120
15000US060014047001,1007,662,94,913,121
15000US060014047002,1159,868,74,1085,122
15000US060014048001,1628,452,182,1446,123
15000US060014048002,1156,679,86,1070,124
15000US060014049001,629,439,55,574,125
15000US060014049002,1289,529,81,1208,126
15000US060014049003,780,413,212,568,127
15000US060014049004,1297,879,110,1187,128
15000US060014050001,638,502,40,598,129
15000US060014050002,1035,551,149,886,130
15000US060014050003,1575,1055,61,1514,131
15000US060014051001,880,683,38,842,132
15000US060014051002,749,426,22,727,133
15000US060014051003,1055,629,46,1009,134
15000US060014051004,523,300,13,510,135
15000US060014051005,1058,692,17,1041,136
15000US060014052001,1345,333,229,1116,137
15000US060014052002,970,420,72,898,138
15000US060014052003,1313,385,293,1020,139
15000US060014052004,1471,555,250,1221,140
15000US060014053011,2098,1042,231,1867,141
15000US060014053012,801,221,112,689,142
15000US060014053021,1347,418,216,1131,143
15000US060014053022,1269,264,310,959,144
15000US060014054011,1794,518,459,1335,145
15000US060014054012,1143,43,454,689,146
15000US060014054013,1150,125,98,1052,147
15000US060014054021,1753,62,236,1517,148
15000US060014054022,1486,247,213,1273,149
15000US060014055001,1063,138,146,917,150
15000US060014055002,857,81,46,811,151
15000US060014055003,1098,225,159,939,152
15000US060014055004,1086,397,136,950,153
15000US060014056001,928,160,118,810,154
15000US060014056002,1213,316,350,863,155
15000US060014056003,1007,438,207,800,156
15000US060014057001,1538,309,112,1426,157
15000US060014057002,1121,16,512,609,158
15000US060014057003,1042,104,254,788,159
15000US060014058001,1232,88,478,754,160
15000US060014058002,1251,148,144,1107,161
15000US060014058003,1109,150,117,992,162
15000US060014058004,645,78,124,521,163
15000US060014059011,1434,9,926,508,164
15000US060014059012,1814,103,446,1368,165
15000US060014059013,1045,9,194,851,166
15000US060014059021,1522,52,286,1236,167
15000US060014059022,1648,137,628,1020,168
15000US060014060001,814,427,108,706,169
15000US060014060002,383,0,43,340,170
15000US060014060003,2250,359,196,2054,171
15000US060014061001,1488,55,1222,266,172
15000US060014061002,621,24,388,233,173
15000US060014061003,1328,430,513,815,174
15000US060014061004,1398,183,850,548,175
15000US060014062011,985,131,298,687,176
15000US060014062012,897,30,345,552,177
15000US060014062013,1495,100,716,779,178
15000US060014062014,919,67,543,376,179
15000US060014062021,1002,43,797,205,180
15000US060014062022,1460,152,709,751,181
15000US060014062023,2212,245,1480,732,182
15000US060014063001,1167,113,546,621,183
15000US060014063002,1212,98,364,848,184
15000US060014063003,1031,208,286,745,185
15000US060014063004,738,25,98,640,186
15000US060014064001,707,260,66,641,187
15000US060014064002,1511,353,293,1218,188
15000US060014065001,1871,227,734,1137,189
15000US060014065002,1136,100,262,874,190
15000US060014065003,2109,30,1409,700,191
15000US060014065004,1458,156,799,659,192
15000US060014066011,974,66,134,840,193
15000US060014066012,1637,153,570,1067,194
15000US060014066013,1782,241,479,1303,195
15000US060014066014,442,67,104,338,196
15000US060014066021,1077,239,128,949,197
15000US060014066022,1690,243,571,1119,198
15000US060014067001,1177,793,145,1032,199
15000US060014067002,474,253,62,412,200
15000US060014067003,2146,841,335,1811,201
15000US060014067004,696,391,126,570,202
15000US060014067005,476,337,0,476,203
15000US060014068001,729,453,99,630,204
15000US060014068002,728,288,20,708,205
