DACP_id,DACP_name,GW
602553,Arden-Arcade CDP,Y
607246,Bodega CDP,Y
609822,California Hot Springs CDP,Y
611376,Carmet CDP,Y
612146,Cazadero CDP,Y
614890,Colton city,Y
614904,Columbia CDP,Y
618030,Darwin CDP,Y
636168,Idlewild CDP,Y
650132,Muscoy CDP,Y
657134,Pine Flat CDP,Y
658422,Posey CDP,Y
665000,San Bernardino city,Y
665112,Sand City city,Y
678638,Three Rivers CDP,Y
683094,Volcano CDP,Y
685642,Willow Creek CDP,Y
600296,Adelanto city,Y
600716,Albion CDP,Y
601010,Allensworth CDP,Y
601164,Alpaugh CDP,Y
601444,Alturas city,Y
602042,Anderson city,Y
602294,Anza CDP,Y
602364,Apple Valley town,Y
602420,Arbuckle CDP,Y
602476,Arcata city,Y
602700,Armona CDP,Y
602924,Arvin city,Y
603162,Atwater city,Y
603209,August CDP,Y
603512,Baker CDP,Y
603708,Ballico CDP,Y
603820,Banning city,Y
604030,Barstow city,Y
604198,Bass Lake CDP,Y
604478,Bayview CDP,Y
604576,Beale AFB CDP,Y
604870,Bell city,Y
604996,Bell Gardens city,Y
606070,Berry Creek CDP,Y
606150,Bertsch-Oceanview CDP,Y
606210,Bethel Island CDP,Y
606336,Bieber CDP,Y
606406,Big Bear City CDP,Y
606434,Big Bear Lake city,Y
606560,Biggs city,Y
606728,Biola CDP,Y
606798,Bishop city,Y
606994,Blairsden CDP,Y
607064,Bloomington CDP,Y
607218,Blythe city,Y
607274,Bodfish CDP,Y
607372,Bombay Beach CDP,Y
607512,Boonville CDP,Y
607578,Boronda CDP,Y
607596,Borrego Springs CDP,Y
607750,Bowles CDP,Y
608240,Bridgeport CDP,Y
609122,Burney CDP,Y
609318,Butte Meadows CDP,Y
609332,Buttonwillow CDP,Y
609353,Bystrom CDP,Y
609360,Cabazon CDP,Y
609834,California Pines CDP,Y
609864,Calimesa city,Y
610004,Calpine CDP,Y
610559,Camp Pendleton North CDP,Y
610561,Camp Pendleton South CDP,Y
610732,Canby CDP,Y
610816,Cantua Creek CDP,Y
610914,Canyondam CDP,Y
611481,Carrick CDP,Y
611600,Cartago CDP,Y
611614,Caruthers CDP,Y
612048,Cathedral City city,Y
612328,Cedarville CDP,Y
612524,Ceres city,Y
612930,Chester CDP,Y
613014,Chico city,Y
613077,Chilcoot-Vinton CDP,Y
613157,China Lake Acres CDP,Y
613294,Chowchilla city,Y
613910,Clear Creek CDP,Y
613945,Clearlake city,Y
614148,Clipper Mills CDP,Y
614260,Coachella city,Y
614288,Coarsegold CDP,Y
614484,Coleville CDP,Y
