ID,DACP_Idnumber,DACP_name,MHI_e,MHI_me
1600000US0600135,600135,"Acalanes Ridge CDP, California",187604,87755
1600000US0600156,600156,"Acampo CDP, California",155385,48595
1600000US0600212,600212,"Acton CDP, California",91168,6304
1600000US0600296,600296,"Adelanto city, California",29647,3664
1600000US0600310,600310,"Adin CDP, California",55625,15484
1600000US0600394,600394,"Agoura Hills city, California",114313,7305
1600000US0600450,600450,"Agua Dulce CDP, California",104861,16653
1600000US0600464,600464,"Aguanga CDP, California",43750,20040
1600000US0600478,600478,"Ahwahnee CDP, California",64049,5622
1600000US0600535,600535,"Airport CDP, California",29868,10823
1600000US0600562,600562,"Alameda city, California",83048,2615
1600000US0600618,600618,"Alamo CDP, California",171767,14431
1600000US0600674,600674,"Albany city, California",85458,4077
1600000US0600716,600716,"Albion CDP, California",-,**
1600000US0600786,600786,"Alderpoint CDP, California",-,**
1600000US0600884,600884,"Alhambra city, California",53138,2660
1600000US0600898,600898,"Alhambra Valley CDP, California",156250,59494
1600000US0600947,600947,"Aliso Viejo city, California",103261,3288
1600000US0600982,600982,"Alleghany CDP, California",-,**
1600000US0600996,600996,"Allendale CDP, California",135161,18633
1600000US0601010,601010,"Allensworth CDP, California",29091,12602
1600000US0601094,601094,"Almanor CDP, California",-,**
1600000US0601150,601150,"Alondra Park CDP, California",57406,10738
1600000US0601164,601164,"Alpaugh CDP, California",38750,12922
1600000US0601192,601192,"Alpine CDP, California",79444,14671
1600000US0601228,601228,"Alpine Village CDP, California",68500,61294
1600000US0601276,601276,"Alta CDP, California",58438,13572
1600000US0601290,601290,"Altadena CDP, California",88236,4524
1600000US0601360,601360,"Alta Sierra CDP, California",64860,13563
1600000US0601416,601416,"Alto CDP, California",83417,57663
1600000US0601444,601444,"Alturas city, California",29839,8145
1600000US0601458,601458,"Alum Rock CDP, California",72079,5660
1600000US0601514,601514,"Amador City city, California",47813,28641
1600000US0601640,601640,"American Canyon city, California",83673,3075
1600000US0601651,601651,"Amesti CDP, California",54485,8477
1600000US0602000,602000,"Anaheim city, California",61826,1283
1600000US0602028,602028,"Anchor Bay CDP, California",62917,45980
1600000US0602042,602042,"Anderson city, California",35216,3711
1600000US0602112,602112,"Angels city, California",51858,15520
1600000US0602168,602168,"Angwin CDP, California",65656,6696
1600000US0602210,602210,"Antelope CDP, California",65861,3505
1600000US0602252,602252,"Antioch city, California",65530,2784
1600000US0602294,602294,"Anza CDP, California",29129,14118
1600000US0602364,602364,"Apple Valley town, California",47433,2707
1600000US0602378,602378,"Aptos CDP, California",81435,10893
