DACP_id,DACP_name,SW
600296,Adelanto city,Y
600535,Airport CDP,Y
600786,Alderpoint CDP,Y
600982,Alleghany CDP,Y
601514,Amador City city,Y
601651,Amesti CDP,Y
602028,Anchor Bay CDP,Y
602042,Anderson city,Y
602553,Arden-Arcade CDP,Y
602980,Ashland CDP,Y
603209,August CDP,Y
603302,Avenal city,Y
603316,Avery CDP,Y
603792,Bangor CDP,Y
603820,Banning city,Y
604030,Barstow city,Y
604198,Bass Lake CDP,Y
604415,Bay Point CDP,Y
604870,Bell city,Y
604996,Bell Gardens city,Y
605262,Benbow CDP,Y
606210,Bethel Island CDP,Y
606994,Blairsden CDP,Y
607064,Bloomington CDP,Y
607568,Boron CDP,Y
607624,Bostonia CDP,Y
608058,Brawley city,Y
608172,Bret Harte CDP,Y
608530,Brooktrails CDP,Y
609353,Bystrom CDP,Y
609710,Calexico city,Y
609864,Calimesa city,Y
609878,Calipatria city,Y
609990,Calpella CDP,Y
610032,Calwa CDP,Y
610561,Camp Pendleton South CDP,Y
610676,Camptonville CDP,Y
610816,Cantua Creek CDP,Y
611376,Carmet CDP,Y
612048,Cathedral City city,Y
612524,Ceres city,Y
612612,Challenge-Brownsville CDP,Y
613945,Clearlake city,Y
613966,Clearlake Oaks CDP,Y
613985,Clearlake Riviera CDP,Y
614148,Clipper Mills CDP,Y
614232,Clyde CDP,Y
614450,Cold Springs CDP,Y
614454,Cold Springs CDP,Y
614498,Colfax city,Y
614890,Colton city,Y
614904,Columbia CDP,Y
614974,Commerce city,Y
615044,Compton city,Y
616651,Country Club CDP,Y
617050,Crescent Mills CDP,Y
617162,Crestline CDP,Y
617498,Cudahy city,Y
618485,Delleker CDP,Y
618986,Desert Edge CDP,Y
619262,Dillon Beach CDP,Y
619416,Dobbins CDP,Y
619612,Dos Palos city,Y
619724,Douglas City CDP,Y
620697,East Hemet CDP,Y
620802,East Los Angeles CDP,Y
621034,East Rancho Dominguez CDP,Y
621188,East Sonora CDP,Y
621712,El Cajon city,Y
621782,El Centro city,Y
622230,El Monte city,Y
622006,Elk Creek CDP,Y
622622,Empire CDP,Y
622972,Etna city,Y
624477,Florence-Graham CDP,Y
624498,Florin CDP,Y
624722,Foothill Farms CDP,Y
624834,Foresthill CDP,Y
625058,Fort Bragg city,Y
626028,French Camp CDP,Y
626056,French Gulch CDP,Y
627000,Fresno city,Y
627014,Friant CDP,Y
627130,Fruitridge Pocket CDP,Y
628154,Garberville CDP,Y
628182,Garden Acres CDP,Y
628168,Gardena city,Y
629112,Garnet CDP,Y
629154,Gasquet CDP,Y
629350,Georgetown CDP,Y
630028,Glen Ellen CDP,Y
630410,Good Hope CDP,Y
630798,Grass Valley city,Y
631162,Greenville CDP,Y
631372,Groveland CDP,Y
631414,Guadalupe city,Y
632030,Happy Camp CDP,Y
632506,Hawaiian Gardens city,Y
632548,Hawthorne city,Y
632562,Hayfork CDP,Y
633084,Heber CDP,Y
633182,Hemet city,Y
633574,Highgrove CDP,Y
634246,Holtville city,Y
634316,Homeland CDP,Y
634694,Hornbrook CDP,Y
636056,Huntington Park city,Y
636084,Huron city,Y
636294,Imperial Beach city,Y
636546,Inglewood city,Y
636868,Isla Vista CDP,Y
636980,Jackson city,Y
637106,Jamestown CDP,Y
638065,Kennedy CDP,Y
638548,Kings Beach CDP,Y
639259,Laguna Woods city,Y
639612,Lake Los Angeles CDP,Y
639724,Lake San Marcos CDP,Y
639514,Lakehead CDP,Y
639598,Lakeland Village CDP,Y
639710,Lakeport city,Y
639836,Lakeview CDP,Y
640130,Lancaster city,Y
640886,Lawndale city,Y
641142,Lemon Hill CDP,Y
641166,Lemoore Station CDP,Y
641180,Lennox CDP,Y
