DACPlace ID Number,DACPlace Name,DACPPopulation,DACPHouseholds,DACPMHI,AREAofDACP_a_,IRWMName,IRWMRAP_Year,IntersectionArea_a_,Percent_Intersection_a_,DAC_Pilot,TLB,,
600296,Adelanto city,31773,7392,35262,53031.29364,(18) Mojave,2009,53031.29364,1.00,N,N,,
600310,Adin CDP,215,64,29583,3895.440069,(39) Upper Pit River Watershed,2009,3895.440069,1.00,N,N,,
600535,Airport CDP,1547,472,21607,609.861884,(47) East Stanislaus,2011,609.861884,1.00,N,N,,
600716,Albion CDP,295,100,12209,1978.683652,(21) North Coast,2009,1975.126307,1.00,Y,N,,
600786,Alderpoint CDP,255,126,32688,2663.532366,(21) North Coast,2009,2663.532366,1.00,Y,N,,
600982,Alleghany CDP,115,43,37663,375.217974,"(6) Cosumnes, American, Bear, Yuba (CABY)",2009,375.217974,1.00,N,N,,
601010,Allensworth CDP,480,118,25625,3028.510296,(35) Tule,2009,3028.510296,1.00,N,Y,,
601094,Almanor CDP,0,0,0,970.536965,(37) Upper Feather River Watershed,2009,970.536965,1.00,N,N,,
601164,Alpaugh CDP,969,243,26927,982.057522,(35) Tule,2009,982.057522,1.00,N,Y,,
601444,Alturas city,2714,1240,31087,2795.367385,(39) Upper Pit River Watershed,2009,2795.367385,1.00,N,N,,
601514,Amador City city,164,86,48750,327.627317,(19) Mokelumne/Amador/Calaveras (MAC),2009,327.627317,1.00,N,N,,
601651,Amesti CDP,3213,961,48617,3068.371172,(23) Pajaro River Watershed,2009,3068.371172,1.00,N,N,,
602028,Anchor Bay CDP,254,137,34191,3708.100239,(21) North Coast,2009,3693.927458,1.00,Y,N,,
602042,Anderson city,10066,3884,35225,7324.361978,(22) North Sacramento Valley,2009,7324.361978,1.00,N,N,,
602294,Anza CDP,2356,897,39489,25579.3669,(42) Upper Santa Margarita,2009,22758.41173,0.89,N,N,,
602364,Apple Valley town,70561,23987,48337,70683.8675,(18) Mojave,2009,70683.8675,1.00,N,N,,
602420,Arbuckle CDP,3009,798,47639,1867.563471,(22) North Sacramento Valley,2009,1867.563471,1.00,N,N,,
