IDNumber,DACP_IDNumber,DACP_Name,ACS_pop_e,ACS_pop_me,ACE_white_e,ACS_white_me,ACS_white_epercent,ACS_white_mepercent,ACS_black_e,ACS_black_me,ACS_black_epercent,ACS_black_mepercent,ACS_native_e,ACS_native_me,ACS_native_epercent,ACS_native_mepercent,ACS_asian_e,ACS_asian_me,ACS_asian_epercent,ACS_asian_mepercent,ACS_island_e,ACS_island_me,ACS_island_epercent,ACS_island_mepercent,ACS_other_e,ACS_other_me,ACS_other_epercent,ACS_other_mepercent,ACS_HOL_e,ACS_HOL_me,ACS_HOL_epercent,ACS_HOL_mepercent,ACS_notHOL_e,ACS_notHOL_me,ACS_notHOL_epercent,ACS_notHOL_mepercent,ACS_whitenotHOL_e,ACS_whitenotHOL_me,ACS_whitenotHOL_epercent,ACS_whitenotHOL_mepercent
1600000US0600135,600135,"Acalanes Ridge CDP, California",1000,338,630,209,63,15.7,0,12,0,3.2,0,12,0,3.2,209,146,20.9,14.7,0,12,0,3.2,0,12,0,3.2,0,12,0,3.2,1000,338,100,3.2,630,209,63,15.7
1600000US0600156,600156,"Acampo CDP, California",466,398,466,398,100,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,466,398,100,6.7,466,398,100,6.7
1600000US0600212,600212,"Acton CDP, California",7170,555,6284,576,87.6,3.3,120,75,1.7,1,15,24,0.2,0.3,67,63,0.9,0.9,0,17,0,0.5,584,216,8.1,3,1103,207,15.4,2.8,6067,533,84.6,2.8,5710,541,79.6,3.1
1600000US0600296,600296,"Adelanto city, California",32311,35,19574,1276,60.6,4,6067,891,18.8,2.8,103,113,0.3,0.3,515,175,1.6,0.5,18,30,0.1,0.1,4271,843,13.2,2.6,19902,862,61.6,2.7,12409,863,38.4,2.7,5036,687,15.6,2.1
1600000US0600310,600310,"Adin CDP, California",155,91,150,92,96.8,9.1,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,155,91,100,18.8,150,92,96.8,9.1
1600000US0600394,600394,"Agoura Hills city, California",20689,34,17829,607,86.2,2.9,314,162,1.5,0.8,10,16,0,0.1,1320,343,6.4,1.7,0,22,0,0.2,601,478,2.9,2.3,2618,747,12.7,3.6,18071,751,87.3,3.6,15894,814,76.8,3.9
1600000US0600450,600450,"Agua Dulce CDP, California",3541,414,3009,369,85,7.2,13,15,0.4,0.4,0,12,0,0.9,58,97,1.6,2.8,0,12,0,0.9,90,65,2.5,1.9,696,202,19.7,5.3,2845,388,80.3,5.3,2527,357,71.4,6.5
1600000US0600464,600464,"Aguanga CDP, California",673,309,571,310,84.8,19.1,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,102,127,15.2,19.1,228,162,33.9,22.1,445,271,66.1,22.1,445,271,66.1,22.1
1600000US0600478,600478,"Ahwahnee CDP, California",2225,495,2157,486,96.9,2.8,0,12,0,1.4,32,51,1.4,2.3,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,47,46,2.1,2.1,2178,498,97.9,2.1,2133,492,95.9,3.1
1600000US0600535,600535,"Airport CDP, California",1605,393,1484,403,92.5,5.6,42,43,2.6,2.7,0,12,0,2,0,12,0,2,0,12,0,2,73,66,4.5,4.3,1254,377,78.1,10.4,351,167,21.9,10.4,303,175,18.9,10.9
