DACP_Place_IDNumber,Total_populatio_e,NotHispanic_White_pop_e,Hispanic_or_Latino_population_e,Not_Hispanic_or_Latino_pop_e,DAC_Population,Percent_white_not_hispanic,Percent_latino,Pop_difference
600310,696,620,38,658,215,89.08045977011494,5.459770114942529,481
600535,5815,1448,4188,1627,1547,24.901117798796214,72.02063628546863,4268
600716,1799,1496,136,1663,295,83.15730961645359,7.5597554196775985,1504
600786,1026,857,50,976,255,83.52826510721248,4.8732943469785575,771
600982,413,366,0,413,115,88.61985472154964,0,298
601010,1875,279,1496,379,480,14.879999999999999,79.78666666666666,1395
601094,581,498,9,572,0,85.71428571428571,1.549053356282272,581
601164,1875,279,1496,379,969,14.879999999999999,79.78666666666666,906
601444,4104,3409,512,3592,2714,83.06530214424951,12.475633528265107,1390
601514,2012,1468,337,1675,164,72.96222664015905,16.749502982107355,1848
601651,4502,1013,3272,1230,3213,22.501110617503333,72.67880941803642,1289
602028,1707,1429,209,1498,254,83.71411833626244,12.243702401874634,1453
602294,4784,3031,1094,3690,2356,63.35702341137124,22.867892976588628,2428
602420,4545,1386,3064,1481,3009,30.495049504950494,67.4147414741474,1536
602700,7790,2877,3825,3965,3531,36.93196405648267,49.101412066752246,4259
603026,1171,867,293,878,54,74.0392826643894,25.02134927412468,1117
603209,13624,2764,8168,5456,8479,20.287727539635934,59.95302407516148,5145
603316,3776,3404,358,3418,674,90.14830508474576,9.48093220338983,3102
603512,796,244,499,297,916,30.65326633165829,62.688442211055275,-120
603708,3435,1182,2049,1386,333,34.41048034934498,59.65065502183406,3102
603792,2609,2108,215,2394,575,80.79724032196243,8.2407052510540435,2034
604198,3175,2451,479,2696,570,77.19685039370079,15.086614173228346,2605
604478,2998,1988,492,2506,2408,66.31087391594396,16.41094062708472,590
604576,1622,994,225,1397,1342,61.28236744759556,13.871763255240444,280
604632,2114,755,1288,826,197,35.714285714285715,60.9271523178808,1917
604730,637,503,93,544,201,78.96389324960754,14.599686028257459,436
604856,836,689,0,836,46,82.41626794258373,0,790
605262,1350,1169,67,1283,314,86.59259259259258,4.962962962962963,1036
605346,1076,906,27,1049,178,84.20074349442379,2.509293680297398,898
606070,2701,2243,311,2390,1292,83.04331728989264,11.514253980007405,1409
606150,8599,4260,2641,5958,2568,49.540644260960576,30.712873589952324,6031
606210,2199,1688,395,1804,2158,76.76216462028195,17.962710322874035,41
606336,297,228,25,272,127,76.76767676767676,8.417508417508419,170
606434,7814,5858,1623,6191,5104,74.96800614282057,20.770412080880472,2710
606475,1131,956,55,1076,87,84.52696728558797,4.862953138815207,1044
